,80,80,90,90
0,175.000 ,95.000 ,185.000 ,95.000 
1,174.829 ,100.232 ,184.807 ,100.886 
2,174.316 ,105.442 ,184.230 ,106.747 
3,173.463 ,110.607 ,183.271 ,112.558 
4,172.274 ,115.706 ,181.933 ,118.294 
5,170.754 ,120.715 ,180.224 ,123.930 
6,168.910 ,125.615 ,178.149 ,129.442 
7,166.750 ,130.383 ,175.719 ,134.806 
8,164.282 ,135.000 ,172.942 ,140.000 
9,161.518 ,139.446 ,169.832 ,145.001 
10,158.468 ,143.701 ,166.402 ,149.789 
11,155.147 ,147.748 ,162.666 ,154.341 
12,151.569 ,151.569 ,158.640 ,158.640 
13,147.748 ,155.147 ,154.341 ,162.666 
14,143.701 ,158.468 ,149.789 ,166.402 
15,139.446 ,161.518 ,145.001 ,169.832 
16,135.000 ,164.282 ,140.000 ,172.942 
17,130.383 ,166.750 ,134.806 ,175.719 
18,125.615 ,168.910 ,129.442 ,178.149 
19,120.715 ,170.754 ,123.930 ,180.224 
20,115.706 ,172.274 ,118.294 ,181.933 
21,110.607 ,173.463 ,112.558 ,183.271 
22,105.442 ,174.316 ,106.747 ,184.230 
23,100.232 ,174.829 ,100.886 ,184.807 
24,95.000 ,175.000 ,95.000 ,185.000 
25,89.768 ,174.829 ,89.114 ,184.807 
26,84.558 ,174.316 ,83.253 ,184.230 
27,79.393 ,173.463 ,77.442 ,183.271 
28,74.294 ,172.274 ,71.706 ,181.933 
29,69.285 ,170.754 ,66.070 ,180.224 
30,64.385 ,168.910 ,60.558 ,178.149 
31,59.617 ,166.750 ,55.194 ,175.719 
32,55.000 ,164.282 ,50.000 ,172.942 
33,50.554 ,161.518 ,44.999 ,169.832 
34,46.299 ,158.468 ,40.211 ,166.402 
35,42.252 ,155.147 ,35.659 ,162.666 
36,38.431 ,151.569 ,31.360 ,158.640 
37,34.853 ,147.748 ,27.334 ,154.341 
38,31.532 ,143.701 ,23.598 ,149.789 
39,28.482 ,139.446 ,20.168 ,145.001 
40,25.718 ,135.000 ,17.058 ,140.000 
41,23.250 ,130.383 ,14.281 ,134.806 
42,21.090 ,125.615 ,11.851 ,129.442 
43,19.246 ,120.715 ,9.776 ,123.930 
44,17.726 ,115.706 ,8.067 ,118.294 
45,16.537 ,110.607 ,6.729 ,112.558 
46,15.684 ,105.442 ,5.770 ,106.747 
47,15.171 ,100.232 ,5.193 ,100.886 
48,15.000 ,95.000 ,5.000 ,95.000 
49,15.171 ,89.768 ,5.193 ,89.114 
50,15.684 ,84.558 ,5.770 ,83.253 
51,16.537 ,79.393 ,6.729 ,77.442 
52,17.726 ,74.294 ,8.067 ,71.706 
53,19.246 ,69.285 ,9.776 ,66.070 
54,21.090 ,64.385 ,11.851 ,60.558 
55,23.250 ,59.617 ,14.281 ,55.194 
56,25.718 ,55.000 ,17.058 ,50.000 
57,28.482 ,50.554 ,20.168 ,44.999 
58,31.532 ,46.299 ,23.598 ,40.211 
59,34.853 ,42.252 ,27.334 ,35.659 
60,38.431 ,38.431 ,31.360 ,31.360 
61,42.252 ,34.853 ,35.659 ,27.334 
62,46.299 ,31.532 ,40.211 ,23.598 
63,50.554 ,28.482 ,44.999 ,20.168 
64,55.000 ,25.718 ,50.000 ,17.058 
65,59.617 ,23.250 ,55.194 ,14.281 
66,64.385 ,21.090 ,60.558 ,11.851 
67,69.285 ,19.246 ,66.070 ,9.776 
68,74.294 ,17.726 ,71.706 ,8.067 
69,79.393 ,16.537 ,77.442 ,6.729 
70,84.558 ,15.684 ,83.253 ,5.770 
71,89.768 ,15.171 ,89.114 ,5.193 
72,95.000 ,15.000 ,95.000 ,5.000 
73,100.232 ,15.171 ,100.886 ,5.193 
74,105.442 ,15.684 ,106.747 ,5.770 
75,110.607 ,16.537 ,112.558 ,6.729 
76,115.706 ,17.726 ,118.294 ,8.067 
77,120.715 ,19.246 ,123.930 ,9.776 
78,125.615 ,21.090 ,129.442 ,11.851 
79,130.383 ,23.250 ,134.806 ,14.281 
80,135.000 ,25.718 ,140.000 ,17.058 
81,139.446 ,28.482 ,145.001 ,20.168 
82,143.701 ,31.532 ,149.789 ,23.598 
83,147.748 ,34.853 ,154.341 ,27.334 
84,151.569 ,38.431 ,158.640 ,31.360 
85,155.147 ,42.252 ,162.666 ,35.659 
86,158.468 ,46.299 ,166.402 ,40.211 
87,161.518 ,50.554 ,169.832 ,44.999 
88,164.282 ,55.000 ,172.942 ,50.000 
89,166.750 ,59.617 ,175.719 ,55.194 
90,168.910 ,64.385 ,178.149 ,60.558 
91,170.754 ,69.285 ,180.224 ,66.070 
92,172.274 ,74.294 ,181.933 ,71.706 
93,173.463 ,79.393 ,183.271 ,77.442 
94,174.316 ,84.558 ,184.230 ,83.253 
95,174.829 ,89.768 ,184.807 ,89.114 
96,175.000 ,95.000 ,185.000 ,95.000 
